id,question,answer,intent
92,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
93,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
94,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
95,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
96,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
97,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
98,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
99,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
100,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
101,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
102,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
103,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
104,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
105,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
106,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
107,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
108,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
109,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
110,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
111,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
112,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
113,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
114,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
115,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
116,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
117,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
118,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
119,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
120,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
121,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
122,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
123,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
124,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
125,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
126,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
127,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
128,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
129,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
130,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
131,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
132,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
133,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
134,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
135,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
136,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
137,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
138,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
139,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
140,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
141,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
142,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
143,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
144,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
145,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
146,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
147,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
148,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
149,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
150,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
151,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
152,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
153,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
154,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
155,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
156,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
157,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
158,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
159,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
160,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
161,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
162,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
163,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
164,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
165,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
166,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
167,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
168,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
169,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
170,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
171,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
172,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
173,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
174,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
175,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
176,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
177,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
178,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
179,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
180,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
181,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
182,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
183,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
184,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
185,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
186,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
187,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
188,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
189,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
190,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
191,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
192,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
193,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
194,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
195,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
196,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
197,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
198,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
199,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
200,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
201,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
202,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
203,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
204,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
205,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
206,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
207,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
208,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
209,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
210,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
211,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
212,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
213,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
214,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
215,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
216,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
217,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
218,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
219,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
220,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
221,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
222,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
223,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
224,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
225,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
226,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
227,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
228,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
229,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
230,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
231,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
232,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
233,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
234,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
235,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
236,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
237,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
238,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
239,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
240,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
241,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
242,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
243,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
244,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
245,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
246,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
247,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
248,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
249,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
250,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
251,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
252,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
253,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
254,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
255,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
256,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
257,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
258,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
259,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
260,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
261,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
262,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
263,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
264,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
265,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
266,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
267,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
268,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
269,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
270,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
271,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
272,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
273,"Hello, sab thikai chha?","Hello! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
274,Sanchai hunuhunchha?,"Sanchai chhu, tapai lai kasari madat garna sakchu?",greetings
275,K cha tapai?,"Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
276,Kasto din bhayo?,"Din ramro bhayo, tapai lai ke chahincha?",greetings
277,Tapai ko din kasto chha?,"Din ramro chha, tapai lai kasari madat garna sakchu?",greetings
278,"Good day, kasari chha?","Good day! Ma sanchai chhu, tapai lai ke chahincha?",greetings
279,"Namaste, sab thikai chha?","Namaste! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
280,"Hello, tapai kasto chha?","Hello! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
281,"Hi, kasari chha?","Hi! Ma thikai chhu, tapai lai kasari madat garna sakchu?",greetings
282,"Good morning, tapai lai kasto chha?","Good morning! Ma thikai chhu, tapai lai ke chahincha?",greetings
283,"Good afternoon, tapai lai kasto chha?","Good afternoon! Ma thikai chhu, tapai lai ke chahincha?",greetings
284,"Good evening, tapai lai kasto chha?","Good evening! Ma thikai chhu, tapai lai ke chahincha?",greetings
285,"Hi, sab thikai chha?","Hi! Sab thikai chha, tapai lai kasari madat garna sakchu?",greetings
